linha_original,disciplina,hierarquia_codigo,nivel_profundidade,assunto_nivel_1,assunto_nivel_2,assunto_nivel_3,assunto_nivel_4,assunto_especifico,quantidade_encontrada,porcentagem_encontrada,quantidade_caderno,porcentagem_caderno
0,Direito Administrativo (Doutrina e Leis Federais),,0,,,,,Direito Administrativo (Doutrina e Leis Federais),22,0.37,22,0.37
1,Direito Administrativo (Doutrina e Leis Federais),01,1,Regime Jurídico Administrativo,,,,Regime Jurídico Administrativo,1,0.02,1,0.02
2,Direito Administrativo (Doutrina e Leis Federais),01.01,2,Regime Jurídico Administrativo,"Princípios Expressos, Explícitos ou Constitucionais",,,"Princípios Expressos, Explícitos ou Constitucionais",1,0.02,1,0.02
3,Direito Administrativo (Doutrina e Leis Federais),02,1,Organização Administrativa,,,,Organização Administrativa,1,0.02,1,0.02
4,Direito Administrativo (Doutrina e Leis Federais),02.01,2,Organização Administrativa,Organização Administrativa da União,,,Organização Administrativa da União,1,0.02,1,0.02
5,Direito Administrativo (Doutrina e Leis Federais),02.01.01,3,Organização Administrativa,Organização Administrativa da União,Administração Indireta,,Administração Indireta,1,0.02,1,0.02
6,Direito Administrativo (Doutrina e Leis Federais),03,1,Responsabilidade Civil do Estado,,,,Responsabilidade Civil do Estado,6,0.1,6,0.1
7,Direito Administrativo (Doutrina e Leis Federais),03.01,2,Responsabilidade Civil do Estado,Conceitos Iniciais e Teorias da Responsabilidade,,,Conceitos Iniciais e Teorias da Responsabilidade,3,0.05,3,0.05
8,Direito Administrativo (Doutrina e Leis Federais),03.02,2,Responsabilidade Civil do Estado,Responsabilidade dos Agentes Públicos e Direito de Regresso,,,Responsabilidade dos Agentes Públicos e Direito de Regresso,1,0.02,1,0.02
9,Direito Administrativo (Doutrina e Leis Federais),03.03,2,Responsabilidade Civil do Estado,Responsabilidade Civil por Atos Omissivos,,,Responsabilidade Civil por Atos Omissivos,1,0.02,1,0.02
10,Direito Administrativo (Doutrina e Leis Federais),03.04,2,Responsabilidade Civil do Estado,Responsabilidade por Atos Legislativos e Judiciais,,,Responsabilidade por Atos Legislativos e Judiciais,1,0.02,1,0.02
11,Direito Administrativo (Doutrina e Leis Federais),04,1,Controle da Administração,,,,Controle da Administração,2,0.03,2,0.03
12,Direito Administrativo (Doutrina e Leis Federais),04.01,2,Controle da Administração,Controle Jurisdicional,,,Controle Jurisdicional,2,0.03,2,0.03
13,Direito Administrativo (Doutrina e Leis Federais),05,1,Agentes Públicos,,,,Agentes Públicos,7,0.12,7,0.12
14,Direito Administrativo (Doutrina e Leis Federais),05.01,2,Agentes Públicos,Lei nº 8.112/1990 - Estatuto dos Servidores Federais,,,Lei nº 8.112/1990 - Estatuto dos Servidores Federais,7,0.12,7,0.12
